timestamp,datetime,power_watts,notes
1753918363.096205,2025-07-30 19:32:43,29.72,
1753918364.936949,2025-07-30 19:32:44,40.96,
1753918367.093829,2025-07-30 19:32:47,32.72,
1753918368.930517,2025-07-30 19:32:48,35.25,
1753918371.080380,2025-07-30 19:32:51,31.46,
1753918372.923667,2025-07-30 19:32:52,36.13,
1753918375.080581,2025-07-30 19:32:55,35.67,
1753918376.915845,2025-07-30 19:32:56,42.61,
1753918379.067916,2025-07-30 19:32:59,51.27,
1753918383.062626,2025-07-30 19:33:03,37.21,
1753918385.215989,2025-07-30 19:33:05,33.64,
1753918387.054070,2025-07-30 19:33:07,20.81,
1753918389.213255,2025-07-30 19:33:09,24.90,
1753918391.050567,2025-07-30 19:33:11,33.26,
1753918395.050752,2025-07-30 19:33:15,38.03,
1753918403.345235,2025-07-30 19:33:23,30.22,
1753918405.194568,2025-07-30 19:33:25,46.70,
1753918407.332204,2025-07-30 19:33:27,25.20,
1753918409.181481,2025-07-30 19:33:29,41.27,
1753918411.322336,2025-07-30 19:33:31,39.89,
1753918413.168632,2025-07-30 19:33:33,23.95,
1753918415.316381,2025-07-30 19:33:35,21.12,
1753918419.314501,2025-07-30 19:33:39,33.02,
1753918422.133817,2025-07-30 19:33:42,18.86,
1753918423.304172,2025-07-30 19:33:43,24.28,
1753918425.147570,2025-07-30 19:33:45,25.08,
1753918427.320072,2025-07-30 19:33:47,39.92,
1753918429.451835,2025-07-30 19:33:49,31.22,
1753918431.299402,2025-07-30 19:33:51,35.29,
1753918433.440449,2025-07-30 19:33:53,39.35,
1753918449.431510,2025-07-30 19:34:09,62.21,
1753918451.577084,2025-07-30 19:34:11,64.79,
1753918453.411696,2025-07-30 19:34:13,61.90,
1753918455.561512,2025-07-30 19:34:15,46.99,
1753918457.404520,2025-07-30 19:34:17,63.88,
1753918459.555095,2025-07-30 19:34:19,42.30,
1753918461.400871,2025-07-30 19:34:21,90.09,
1753918463.557514,2025-07-30 19:34:23,59.40,
1753918465.395451,2025-07-30 19:34:25,61.44,
1753918467.540464,2025-07-30 19:34:27,44.71,
1753918469.691712,2025-07-30 19:34:29,55.54,
1753918473.686313,2025-07-30 19:34:33,55.80,
1753918475.537534,2025-07-30 19:34:35,54.25,
1753918477.680377,2025-07-30 19:34:37,52.75,
1753918483.515752,2025-07-30 19:34:43,57.74,
1753918487.819285,2025-07-30 19:34:47,61.55,
1753918489.759875,2025-07-30 19:34:49,44.79,
1753918491.810001,2025-07-30 19:34:51,49.60,
1753918493.655202,2025-07-30 19:34:53,65.25,
1753918495.805986,2025-07-30 19:34:55,57.63,
1753918497.647161,2025-07-30 19:34:57,74.92,
1753918499.800391,2025-07-30 19:34:59,77.38,
1753918501.643441,2025-07-30 19:35:01,57.52,
1753918503.800379,2025-07-30 19:35:03,54.90,
1753918505.646305,2025-07-30 19:35:05,57.25,
1753918509.632706,2025-07-30 19:35:09,51.55,
1753918511.786888,2025-07-30 19:35:11,50.28,
1753918513.931163,2025-07-30 19:35:13,79.28,
1753918515.775866,2025-07-30 19:35:15,43.17,
1753918523.762396,2025-07-30 19:35:23,77.21,
1753918525.909017,2025-07-30 19:35:25,78.37,
1753918527.764092,2025-07-30 19:35:27,56.15,
1753918529.905329,2025-07-30 19:35:29,46.23,
1753918531.747745,2025-07-30 19:35:31,50.36,
1753918536.058633,2025-07-30 19:35:36,69.68,
1753918545.879630,2025-07-30 19:35:45,77.67,
1753918552.024199,2025-07-30 19:35:52,82.91,
1753918553.867835,2025-07-30 19:35:53,59.35,
1753918562.169254,2025-07-30 19:36:02,37.51,
